comments,date,translated_comments,cleaned_comments
“Mga mapagkunwari! Para kayong libingang pinaputi… maganda sa labas ngunit puno ng karumihan sa loob.”,11/25/2025,"""Hypocrites! You are like a whitewashed tomb… beautiful on the outside but full of filthiness on the inside.""",hypocrite like whitewashed tomb beautiful outside full filthiness inside
This video is genuine,11/19/2025,This video is genuine,video genuine
Hoy umuwi ka dito,11/19/2025,Hey come home here,hey come home
sec.mina..its your time to shine..,11/19/2025,sec.mina..its your time to shine..,secminaits time shine
1 Timoteo 6:10,11/19/2025,1 Timothy 6:10,1 timothy 610
Baka mabangungut ka niyan hindi ka makatulog ng maayos..pero kung magsasabi ka ng katotohanan gagaan pakiramdam mo..baka sa ngayon takot ka ng matulog !,11/19/2025,It might give you nightmares and you won't be able to sleep well..but if you tell the truth you will feel better..maybe right now you are afraid to sleep!,might give nightmare wont able sleep wellbut tell truth feel bettermaybe right afraid sleep
hwag ka munang umuwi ng Pilipinas kung si BBM pa ang nakaupo.. magtago ka muna dyan.. umuwi ka nalang kapag iba na ang Presidente... powerful pa sila dahil sila pa ang nakaupo..baka ano pang magyari sayo... tiyak papatayin ka ng mga yan sa pag sisiwalat mo sa kanila.. keep safe ka po muna kung nasaan ka man ngayon.. atleast nabawasan ang poot namin sayo... pero kasali ka rin sa malilitis kahit wala na si bbm sa kapangyarihan.pero atleast poprotektahan ka ng susunod na pangulo.. basta ngayon havang si bbm pa ang nakaupo magtago ka nalang muna..,11/21/2025,"Don't go home to the Philippines if BBM is still sitting.. hide there first.. just go home when the President is different... they are still powerful because they are still sitting.. maybe what else will happen to you... they will surely kill you if you reveal to them.. stay safe wherever you are now.. at least our hatred for you has decreased... but you will also be involved in the trial even though bbm is no longer in power. but at least you will be protected of the next president.. as long as bbm is still sitting now, just hide first..",dont go home philippine bbm still sitting hide first go home president different still powerful still sitting maybe else happen surely kill reveal stay safe wherever least hatred decreased also involved trial even though bbm longer power least protected next president long bbm still sitting hide first
Mura mag Sara ug line,11/23/2025,It's like Sara and line,like sara line
GOD BLESS CONG ZALDY CO INGAT PO LAGI,11/19/2025,GOD BLESS CONG ZALDY CO REMEMBER PO AGAIN,god bless cong zaldy co remember po
MY SUPER HERO ZALDY CO,11/19/2025,MY SUPER HERO ZALDY CO,super hero zaldy co
Salamat Sir,11/19/2025,Thank you sir,thank sir
Boss we miss you more post please,11/20/2025,Boss we miss you more post please,bos miss post please
Ibunyag mo na din sino mastermind sa pagpapadala kay PRRD sa ICC para mas tuluyang magsiklab ang Galit ng TAUMBAYAN,11/19/2025,Also reveal who is the mastermind in sending PRRD to the ICC so that the Rage of the People will flare up even more,also reveal mastermind sending prrd icc rage people flare even
"Rep. Zaldy Co, utos ba din ni bong-bong marcos na dalhin si FPRRD sa the Hague?",11/19/2025,"Rep. Zaldy Co, did bong-bong marcos also order to bring FPRRD to the Hague?",rep zaldy co bongbong marcos also order bring fprrd hague
Sabihin mo na mayroon ka rin natanggap sa hatian para maniwala sa inyo kaming mga pilipino. Huwag yong sabihin mo na wala kang natangga,11/19/2025,Say that you also received something in the division so that we Filipinos believe in you. Don't say you didn't get anything,say also received something division filipino believe dont say didnt get anything
Pwede po pa retake ng video. Pakiedit po script at proweba. Mali mali po date. Pati po yung sasakyan wag kuhanan sticker para di kita kung kanino nakarehistro. Pati po pala yung tag ng nakasale. Madami po kase nagmamasid.,11/19/2025,"You can retake the video. Please edit script and proof. Wrong wrong date. Also, don't take a sticker on the car so you don't see who it's registered to. It's also the tag of the party. There are many people watching.",retake video please edit script proof wrong wrong date also dont take sticker car dont see registered also tag party many people watching
"If you are really telling the truth, UMUWI KA SA PILIPINAS AT SABIHIN MO LAHAT NG SINASABI MO UNDER OATH. That will give you integrity. Sa dami mong ninakaw na pera you can afford security kahit libong body guards pa. Isa pa nag ""tell-all"" ka na ano pang kinatatakutan mo?? Kung ipapapatay ka baka maging hero ka pa for being brave enough to face all allegations DITO SA PILIPINAS. Wala kang accountability kung salita ka ng salita pero nagtatago ka sa ibang bansa.",11/19/2025,"If you are really telling the truth, GO HOME TO THE PHILIPPINES AND SAY EVERYTHING YOU SAY UNDER OATH. That will give you integrity. With the amount of money you stole, you can afford security even with thousands of body guards. Another thing is that you ""tell-all"" what else are you afraid of?? If they kill you, you might even become a hero for being brave enough to face all allegations HERE IN THE PHILIPPINES. You don't have accountability if you say the word but you are hiding in another country.",really telling truth go home philippine say everything say oath give integrity amount money stole afford security even thousand body guard another thing tellall else afraid kill might even become hero brave enough face allegation philippine dont accountability say word hiding another country
Mag iingat po kayo kung asan po kayo naroroon kahit Ang Dami nyo kslanan pinoli nyo pdin mging Tama,11/21/2025,Please be careful where you are even if you choose the right amount of food,please careful even choose right amount food
tataba ka na ulit nailabas mo bigat sa dibdib mo at utak,11/19/2025,you will gain weight once again you have released weight from your chest and brain,gain weight released weight chest brain
Reveal all bossing para sa inang bayan maka bawi ka sa kapwa mo pilipino lalo na sa mga apektado ng baha.,11/19/2025,Reveal all bossing for the motherland so you can make up for your fellow Filipinos especially those affected by the flood.,reveal bossing motherland make fellow filipino especially affected flood
Ikaw nalang Yung pag.asa para may makukulong!!...LugmOk na Yung pilipinas...sana mag ingat ka palagi sir..!!,11/19/2025,You are the only hope for someone to go to jail!!...LugmOk The philippines...hope you always be careful sir..!!,hope someone go jaillugmok philippineshope always careful sir
yan kase wag mag yabang pag nasa pwesto noong kay sara astig mo ngayon sisiw ka na,11/19/2025,"that's why don't brag when you were in Sara's position, you're cool now you're a chick",thats dont brag saras position youre cool youre chick
"Kaya Pala TINANGGAL ni BBM ang PACC Philippines Anti Corruption Comission na binuo ni DUTERTE, para mag nakaw ng billion",11/21/2025,"That's why BBM REMOVED the PACC Philippines Anti Corruption Commission formed by DUTERTE, to steal billions",thats bbm removed pacc philippine anti corruption commission formed duterte steal billion
He’s still guilty.,11/19/2025,He’s still guilty.,he still guilty
Double ingat lang po sir. At Huwag mong hayaan. na ikaw lang ang kanilang ituturo sabihin mo ang nalalaman mo para managot din sila,11/20/2025,"Doubly careful sir. And don't let it. that they will only teach you, say what you know so that they will also be held accountable",doubly careful sir dont let teach say know also held accountable
Kung sa pakiramdam moy papatayin kanila bakit d mo pa isiwalat ang buong katutuhanan e video mo na rin para recorded ..sabihin muna ang lahat2x kesa ikaw lng ang magdusa sa kulungan edamay muna cla para patas kau ..,11/19/2025,"If you feel they are going to be killed, why don't you reveal the whole truth and your video is also recorded..tell everything first instead of you being the only one to suffer in jail.",feel going killed dont reveal whole truth video also recordedtell everything first instead one suffer jail
Gusto po namin malinawan na po ang lahat dahil namumuhunan napo kaming mga INC para sa PANAWAGAN na maging bukas ang imbestigasyon at klaro Sana dahil po ramdam namin Yong malasakit Nyo ngayon..kung totoong mailalahad Mona lahat lahat Pati mga mukha nila,11/19/2025,"We want everything to be clear because we INCs are investing in the CALL for the investigation to be open and clear I hope because we feel that you care now..if it is true Mona will reveal everything, including their faces",want everything clear inc investing call investigation open clear hope feel care nowif true mona reveal everything including face
Weightloss reveal man po tabi jan,11/19/2025,Weightloss reveal man po tabi jan,weightloss reveal man po tabi jan
Gtaktak nsd bersamin palargahon nasd na hahaa,11/19/2025,Black nsd brimm let go hahaa,black nsd brimm let go hahaa
tama yan..,11/19/2025,tama yan..,tama yan
Double time sa mga evidence mo hinahunting kana nila,11/19/2025,Double time with your evidence they are hunting,double time evidence hunting
Umuwi na po kayo dito para magsama-sama na po kayo bago magpasko sa kulungan.,11/19/2025,Come home so you can be together before spending Christmas in prison.,come home together spending christmas prison
Zaldy Co said:,11/19/2025,Zaldy Co said:,zaldy co said
Alam nilang masama ang kanilang ginagawa pinagpatuloy parin corrupt mga lolong ang kakapal talaga,11/19/2025,"They know what they are doing is bad, they still continue corrupt old men are really thick",know bad still continue corrupt old men really thick
Salamat Poh sir. Ngayon di na poh kami magagalit sayo. Dahil sa ini labas mong katotohanan. We will wait for the next revelation sa pagnanakw at sa lahat ng pangyayari especially sa mga AFP alam ko alam mo Yan.,11/19/2025,Thank you Poh sir. Now we will not be angry with you. Because of this you are outside the truth. We will wait for the next revelation on the theft and all the events especially with the AFP I know you know that.,thank poh sir angry outside truth wait next revelation theft event especially afp know know
Tingnan mo Claire kitang kita sa mata ng tao.pawang katotohanan ang sinasalaysay ni zaldy.kita mo namamayat siya dahil tagos sa dibdib yung pagsisisi niya.,11/19/2025,"Look Claire, I can see you in the eyes of a person. Zaldy is telling the truth. You can see that he is losing weight because his remorse is deep in his chest.",look claire see eye person zaldy telling truth see losing weight remorse deep chest
"sabihin mo na lahat. nothing to loose, andyan kana, hindi kana makakawala dyan. kaya sabihin mo na lahat. para sa Bansa at sa mga kawawang Pilipino na pinag nakawan ng kinabukasan. repent! may awa ang Diyos. hindi pa huli ang lahat pag pinag sisihan mo lahat ng kasalanan mo..",11/19/2025,"say it all nothing to loose, it's there, you can't get rid of it. so say it all. for the Country and the poor Filipinos who were robbed of their future. repent! God is merciful. it's not too late when you blame all your sins..",say nothing loose cant get rid say country poor filipino robbed future repent god merciful late blame sin
Umuwi ka na po Sir para managot ang dapat managot para mabigyan man lang ng hustisya yung mga fatality dito sa Cebu ng dahil sa baha,11/19/2025,Please go home sir so that those who should be held accountable can at least get justice for the fatalities here in Cebu due to the flood,please go home sir held accountable least get justice fatality cebu due flood
